,carat,cut,color,clarity,depth,table,price,x,y,z
926,2.03,Ideal,G,SI2,61.1,57.0,17182,8.16,8.21,5.0
927,0.32,Ideal,D,SI1,61.3,55.0,558,4.41,4.46,2.72
928,1.5,Very Good,D,VS2,63.6,55.0,14368,7.17,7.24,4.58
929,0.71,Ideal,G,VVS2,62.5,57.0,3095,5.7,5.73,3.57
930,0.31,Premium,E,VS2,61.7,58.0,872,4.34,4.31,2.67
931,1.0,Premium,H,VS2,59.7,58.0,4861,6.57,6.52,3.91
932,1.1,Premium,G,VS2,60.2,58.0,6534,6.71,6.75,4.05
933,0.36,Good,E,SI2,63.7,54.0,505,4.52,4.55,2.89
934,1.0,Premium,D,SI1,59.6,57.0,5880,6.54,6.44,3.87
935,2.09,Ideal,H,SI2,60.6,57.0,16703,8.3,8.2,5.0
936,0.38,Very Good,I,SI1,60.2,60.0,581,4.65,4.68,2.81
937,0.23,Very Good,F,VVS1,63.2,58.0,505,3.89,3.93,2.47
938,0.99,Good,F,SI2,63.3,54.0,4052,6.36,6.43,4.05
939,1.19,Ideal,H,VS1,62.5,54.0,7466,6.78,6.82,4.25
940,1.16,Ideal,H,SI2,60.9,59.0,5388,6.72,6.78,4.11
941,0.33,Very Good,E,VVS1,61.8,54.0,945,4.47,4.49,2.77
942,1.23,Very Good,D,SI1,59.7,58.0,7799,6.96,7.02,4.17
943,0.32,Ideal,E,IF,61.1,56.0,1018,4.42,4.48,2.72
944,0.71,Ideal,D,SI1,61.8,56.0,3502,5.72,5.76,3.54
945,0.31,Very Good,E,VS2,61.6,59.0,680,4.32,4.35,2.67
946,0.73,Ideal,E,SI1,61.4,56.0,2886,5.79,5.81,3.56
947,0.4,Premium,F,VS2,62.1,58.0,842,4.71,4.76,2.94
948,1.74,Good,I,SI2,60.1,64.0,8731,7.82,7.71,4.67
949,1.21,Premium,E,VS1,60.8,59.0,9541,6.86,6.82,4.16
950,0.54,Premium,J,VVS2,58.2,62.0,1229,5.37,5.31,3.11
951,0.42,Ideal,F,VS1,61.9,57.0,1031,4.79,4.81,2.97
952,0.23,Very Good,E,VVS2,61.8,59.0,465,3.92,3.95,2.43
953,1.33,Good,I,VS1,63.7,56.0,6963,6.92,6.96,4.42
954,1.09,Premium,H,VS2,62.3,57.0,5993,6.63,6.53,4.1
955,1.24,Ideal,G,IF,62.4,56.0,11376,6.86,6.89,4.29
956,1.06,Premium,F,VS1,58.8,60.0,7679,6.76,6.68,3.95
957,1.7,Premium,G,SI1,62.5,61.0,13737,7.54,7.47,4.69
958,0.34,Premium,F,VS2,62.3,57.0,880,4.48,4.44,2.78
959,0.51,Very Good,G,VS1,62.7,56.0,1656,5.08,5.13,3.2
960,1.91,Fair,I,VS1,59.5,68.0,12244,8.1,7.91,4.78
961,1.32,Premium,F,VS2,62.2,58.0,10814,7.03,6.95,4.35
962,0.51,Ideal,E,VS2,61.7,54.0,1656,5.13,5.18,3.18
963,2.02,Good,G,SI2,57.5,61.0,12929,8.37,8.35,4.81
964,1.01,Ideal,J,SI2,61.9,55.3,4099,6.43,6.5,4.01
965,0.51,Premium,G,VS2,62.3,59.0,1546,5.1,5.07,3.17
966,1.04,Premium,D,IF,60.6,56.0,15671,6.6,6.54,3.98
967,0.54,Ideal,D,VVS2,61.5,55.0,2848,5.25,5.29,3.24
968,0.31,Ideal,E,VVS1,61.4,55.0,865,4.35,4.38,2.68
969,0.31,Ideal,E,VS2,61.5,56.0,680,4.34,4.37,2.68
970,0.41,Ideal,H,IF,61.8,55.0,1243,4.79,4.76,2.95
971,2.01,Ideal,H,SI1,62.8,54.0,18186,8.03,8.08,5.05
972,0.63,Very Good,D,SI1,62.8,57.0,1885,5.4,5.46,3.41
973,0.42,Ideal,G,VS2,61.8,56.0,847,4.81,4.84,2.98
974,2.03,Fair,H,SI1,65.4,58.0,14646,7.91,7.88,5.16
975,1.07,Premium,G,SI2,59.8,60.0,4278,6.7,6.65,3.99
976,0.55,Ideal,D,VS2,60.2,56.0,2459,5.33,5.38,3.22
977,0.31,Ideal,H,VVS2,61.5,56.0,625,4.35,4.37,2.68
978,1.31,Ideal,F,SI2,62.7,57.0,6676,7.05,6.98,4.4
979,0.41,Ideal,G,SI2,61.0,57.0,836,4.82,4.79,2.93
980,0.7,Fair,I,SI1,65.0,56.0,1720,5.6,5.5,3.61
981,1.09,Ideal,F,SI1,61.4,56.0,6872,6.63,6.66,4.08
982,1.59,Ideal,H,VVS2,62.6,54.0,12971,7.43,7.47,4.67
983,1.04,Ideal,G,SI2,62.0,57.0,4277,6.6,6.53,4.07
984,0.28,Ideal,F,SI1,60.6,55.0,481,4.26,4.3,2.6
985,0.33,Ideal,F,IF,61.8,55.0,1028,4.47,4.49,2.77
986,1.71,Premium,G,VS1,62.3,58.0,17197,7.65,7.61,4.75
987,2.16,Ideal,H,SI1,61.9,57.0,17820,8.3,8.38,5.16
988,0.27,Ideal,G,SI1,62.2,54.0,426,4.13,4.17,2.58
989,0.34,Very Good,D,SI1,62.8,55.0,626,4.45,4.5,2.81
990,0.41,Ideal,F,VS1,62.0,55.0,1076,4.81,4.77,2.97
991,0.75,Very Good,E,SI1,62.4,57.0,2517,5.79,5.85,3.63
992,0.27,Very Good,E,VVS2,59.7,61.0,567,4.24,4.27,2.54
993,0.32,Ideal,G,VS2,61.8,55.0,720,4.42,4.41,2.73
994,1.01,Very Good,G,VS1,63.5,59.0,6529,6.36,6.31,4.02
995,0.56,Premium,E,VS2,61.8,59.0,1819,5.27,5.34,3.28
996,2.21,Ideal,H,SI2,61.9,56.0,13615,8.4,8.36,5.19
997,0.82,Very Good,I,VS1,63.6,58.9,2583,5.88,5.93,3.76
998,0.72,Ideal,H,VS1,61.4,56.0,2998,5.79,5.81,3.56
999,0.9,Premium,D,SI2,62.5,59.0,3312,6.18,6.13,3.85
1000,0.42,Premium,E,SI1,60.0,58.0,722,4.85,4.89,2.92
1001,1.52,Ideal,H,SI1,61.5,57.0,7729,7.39,7.31,4.52
1002,0.52,Ideal,G,VVS2,61.7,55.0,2338,5.21,5.23,3.22
1003,1.03,Fair,G,SI2,65.7,58.0,3530,6.32,6.26,4.13
1004,1.01,Fair,D,SI2,64.6,56.0,3003,6.31,6.24,4.05
1005,0.35,Very Good,H,SI1,61.0,62.0,491,4.52,4.56,2.77
1006,0.36,Good,E,SI2,63.7,54.0,648,4.55,4.52,2.89
1007,0.9,Good,E,SI2,62.1,63.0,3724,6.09,6.12,3.79
1008,0.55,Ideal,E,SI1,61.6,56.0,1621,5.26,5.28,3.25
1009,1.15,Premium,F,SI2,62.2,59.0,4437,6.7,6.62,4.14
1010,0.5,Very Good,E,VS2,63.2,56.0,1397,5.06,5.03,3.19
1011,1.0,Premium,G,VS2,60.6,59.0,6451,6.42,6.36,3.87
1012,1.13,Premium,F,SI2,58.3,61.0,4025,6.88,6.78,3.98
1013,0.51,Ideal,D,VS2,62.3,55.0,1882,5.19,5.12,3.21
1014,0.65,Good,F,SI1,58.1,61.0,1843,5.66,5.74,3.31
1015,1.03,Ideal,F,IF,63.1,55.0,10615,6.45,6.46,4.07
1016,0.35,Ideal,J,VS1,62.6,53.7,483,4.51,4.54,2.83
1017,0.91,Very Good,E,VS2,58.4,63.0,4823,6.31,6.32,3.69
1018,0.91,Good,G,VS1,64.1,60.0,4744,6.11,6.06,3.9
1019,1.52,Premium,G,VS2,62.0,58.0,13606,7.39,7.33,4.56
1020,1.31,Ideal,G,VS2,61.9,56.0,8922,7.05,7.08,4.37
1021,1.08,Premium,D,SI1,62.6,56.0,5758,6.62,6.57,4.13
1022,2.32,Premium,F,SI2,62.5,59.0,16237,8.51,8.44,5.3
1023,0.51,Very Good,D,VS2,63.7,55.0,1599,5.05,5.09,3.23
1024,1.35,Very Good,E,SI1,62.7,57.0,6860,7.01,7.05,4.41
1025,0.4,Very Good,F,SI1,62.0,56.0,737,4.72,4.77,2.94
1026,1.51,Very Good,J,VS2,62.8,59.0,7418,7.2,7.28,4.55
1027,0.55,Ideal,H,VVS2,61.6,55.0,1668,5.3,5.31,3.26
1028,0.3,Very Good,D,VS2,61.0,57.0,568,4.32,4.34,2.64
1029,1.15,Premium,D,SI1,61.7,58.0,6041,6.76,6.69,4.15
1030,1.62,Ideal,E,VS2,61.4,57.0,16507,7.58,7.54,4.64
1031,0.71,Premium,D,VS2,61.2,59.0,2824,5.74,5.69,3.5
1032,0.56,Ideal,H,VVS1,60.8,57.0,1929,5.3,5.35,3.24
1033,0.78,Ideal,G,SI2,61.5,56.0,2706,5.94,5.97,3.66
1034,1.52,Good,J,VVS2,57.9,62.0,8861,7.61,7.63,4.41
1035,0.52,Very Good,E,VS2,63.4,57.0,1694,5.16,5.12,3.26
1036,1.08,Ideal,J,SI1,61.8,56.2,4443,6.55,6.58,4.06
1037,0.51,Premium,E,VS2,61.3,58.0,1781,5.15,5.13,3.15
1038,1.04,Very Good,D,SI1,58.9,58.0,6138,6.66,6.69,3.93
1039,1.21,Very Good,G,VVS2,60.4,56.0,9484,6.88,6.92,4.17
1040,0.3,Good,G,VVS1,63.5,57.0,789,4.24,4.27,2.7
1041,0.75,Very Good,F,SI2,60.5,57.0,2274,5.88,5.95,3.58
1042,0.9,Good,F,SI1,64.7,54.0,3954,6.04,6.08,3.92
1043,0.3,Ideal,E,VVS2,61.7,55.0,1013,4.31,4.28,2.65
1044,1.07,Ideal,G,SI1,61.7,54.0,5532,6.59,6.61,4.07
1045,0.64,Very Good,D,VS2,62.2,58.0,2297,5.49,5.54,3.43
1046,1.0,Good,I,VS2,59.7,64.0,4155,6.51,6.45,3.87
1047,0.4,Ideal,I,VS1,62.0,54.0,828,4.72,4.75,2.94
1048,1.51,Ideal,I,SI1,62.4,59.0,8752,7.27,7.34,4.56
1049,2.14,Ideal,H,SI2,63.0,55.0,12720,8.25,8.23,5.19
1050,1.07,Ideal,G,SI1,60.2,57.0,5453,6.7,6.59,4.0
1051,0.31,Very Good,F,VS2,58.3,61.0,583,4.44,4.48,2.6
1052,0.44,Ideal,F,VVS2,60.9,55.0,1253,4.96,4.92,3.01
1053,1.2,Premium,G,SI2,60.2,60.0,5689,6.9,6.83,4.13
1054,1.03,Ideal,F,VVS2,61.9,53.0,9131,6.52,6.54,4.04
1055,0.57,Premium,D,VS2,61.7,60.0,1944,5.28,5.32,3.27
1056,0.35,Premium,E,VS2,59.5,58.0,767,4.59,4.62,2.74
1057,2.0,Very Good,J,SI1,61.9,59.0,11404,7.96,8.0,4.94
1058,1.0,Very Good,G,VS2,62.8,62.0,6386,6.28,6.33,3.96
1059,1.66,Ideal,H,VS2,60.1,59.0,12244,7.67,7.64,4.6
1060,0.34,Ideal,D,SI1,61.3,57.0,626,4.44,4.5,2.74
1061,0.4,Very Good,F,VVS2,60.5,57.0,982,4.76,4.79,2.89
1062,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56
1063,0.5,Good,E,VS2,63.3,56.0,1407,5.11,5.03,3.21
1064,0.3,Very Good,F,IF,62.4,56.0,886,4.28,4.31,2.68
1065,0.51,Very Good,D,SI1,60.9,59.0,1569,5.13,5.19,3.14
1066,0.3,Ideal,E,VVS1,61.2,57.0,956,4.36,4.33,2.66
1067,1.5,Premium,G,VS1,61.2,59.0,14234,7.36,7.32,4.49
1068,0.73,Premium,E,SI2,60.1,59.0,2341,5.87,5.82,3.51
1069,1.06,Premium,D,SI1,59.4,57.0,5817,6.72,6.65,3.97
1070,0.92,Good,G,VVS2,58.8,57.0,5390,6.32,6.37,3.73
1071,1.5,Good,E,SI2,63.5,59.0,9281,7.25,7.28,4.61
1072,0.56,Very Good,F,VS2,60.8,57.0,1706,5.29,5.33,3.23
1073,0.38,Ideal,F,VS2,62.1,53.8,789,4.66,4.67,2.9
1074,1.0,Premium,G,VVS2,61.6,61.0,7762,6.38,6.35,3.92
1075,0.32,Premium,G,VS2,61.5,59.0,561,4.4,4.42,2.71
1076,0.52,Ideal,G,VVS2,60.8,57.0,2012,5.21,5.16,3.15
1077,0.35,Ideal,F,VS1,62.8,54.0,754,4.5,4.54,2.84
1078,0.49,Premium,G,SI1,60.6,60.0,1026,5.1,5.06,3.08
1079,1.23,Premium,H,SI1,62.1,58.0,5183,6.85,6.78,4.23
1080,1.03,Premium,G,SI2,63.0,60.0,3824,6.39,6.35,4.01
1081,0.34,Premium,G,VS2,62.4,59.0,596,4.41,4.47,2.77
1082,0.54,Ideal,I,SI1,61.7,56.0,1114,5.25,5.29,3.25
1083,1.23,Ideal,I,VS1,61.6,54.0,7181,6.9,6.94,4.26
1084,1.01,Ideal,F,VS2,62.1,57.0,6787,6.46,6.42,4.0
1085,1.02,Fair,D,SI2,65.5,60.0,4381,6.27,6.24,4.1
1086,1.03,Very Good,G,SI2,63.0,57.0,4315,6.4,6.42,4.04
1087,0.42,Premium,G,SI1,62.7,59.0,717,4.72,4.75,2.97
1088,0.41,Ideal,J,VS2,62.3,54.0,613,4.77,4.8,2.98
1089,1.51,Ideal,D,VS2,62.1,58.0,15821,7.32,7.34,4.55
1090,1.0,Good,H,SI1,61.5,64.0,4568,6.38,6.41,3.93
1091,0.35,Ideal,E,SI1,61.2,57.0,788,4.56,4.52,2.78
1092,1.0,Ideal,E,SI2,62.9,55.0,4808,6.38,6.41,4.02
1093,0.44,Premium,E,VS2,60.4,58.0,1073,4.93,4.87,2.96
1094,1.19,Very Good,F,SI2,58.8,60.0,5622,6.93,6.98,4.09
1095,1.08,Premium,H,VS2,62.4,58.0,5250,6.56,6.49,4.07
1096,0.96,Good,H,SI2,56.7,62.0,3454,6.51,6.39,3.66
1097,0.34,Ideal,G,VS2,60.8,56.0,616,4.53,4.55,2.76
1098,0.7,Ideal,J,VS2,62.0,58.0,1953,5.66,5.69,3.52
1099,1.01,Very Good,F,SI2,62.5,58.0,4690,6.39,6.41,4.0
1100,1.53,Very Good,H,IF,63.1,57.0,13369,7.34,7.25,4.6
1101,0.43,Ideal,D,VVS1,62.3,56.0,1659,4.82,4.81,3.0
1102,1.62,Ideal,H,VS2,62.4,57.0,11114,7.48,7.53,4.68
1103,0.58,Ideal,I,VVS1,62.1,56.0,1805,5.34,5.32,3.31
1104,0.78,Ideal,I,VS1,60.7,56.0,3105,5.97,6.03,3.64
1105,0.5,Very Good,D,VS2,62.8,60.0,1627,5.02,5.08,3.17
1106,0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64
1107,0.58,Very Good,I,VVS1,63.0,57.0,1790,5.31,5.35,3.36
1108,1.21,Good,I,SI1,62.7,59.0,5252,6.63,6.71,4.18
1109,1.3,Very Good,I,VS2,61.8,56.0,7087,6.98,7.04,4.33
1110,0.24,Very Good,F,VVS2,62.1,58.0,478,3.96,4.03,2.48
1111,1.24,Very Good,F,VVS2,63.6,56.0,11268,6.75,6.8,4.31
1112,0.36,Very Good,E,SI2,62.6,57.0,505,4.5,4.54,2.83
1113,1.11,Good,D,SI2,60.1,63.0,4877,6.68,6.7,4.02
1114,1.17,Premium,I,SI2,62.7,57.0,4423,6.77,6.69,4.22
1115,0.34,Ideal,E,VS1,60.8,57.0,805,4.49,4.53,2.74
1116,1.14,Ideal,G,SI1,62.2,56.0,5548,6.66,6.69,4.15
1117,1.56,Premium,H,VS2,62.5,59.0,10702,7.3,7.33,4.57
1118,0.33,Ideal,E,VVS2,61.2,56.0,814,4.44,4.48,2.73
1119,1.0,Premium,F,VS1,62.0,59.0,7056,6.42,6.35,3.96
1120,0.38,Ideal,E,VVS2,61.9,57.0,1176,4.65,4.63,2.87
1121,0.41,Ideal,D,VVS2,62.1,56.0,1356,4.78,4.76,2.96
1122,0.9,Ideal,G,SI1,61.6,57.0,3931,6.24,6.17,3.82
1123,0.71,Very Good,G,VS2,63.1,54.0,2574,5.64,5.7,3.58
1124,0.3,Very Good,H,VVS1,61.1,61.0,638,4.27,4.3,2.62
1125,0.91,Ideal,H,VS2,62.6,57.0,4033,6.2,6.23,3.89
1126,1.7,Premium,J,VVS1,62.9,60.0,11005,7.61,7.56,4.77
1127,0.23,Good,E,VVS1,60.6,65.0,458,3.95,3.97,2.4
1128,1.0,Very Good,F,SI1,61.6,61.0,5197,6.3,6.37,3.9
1129,1.02,Very Good,E,I1,60.6,63.0,3199,6.52,6.46,3.93
1130,0.41,Ideal,E,VS1,60.9,57.0,1153,4.79,4.76,2.91
1131,1.32,Very Good,H,SI1,62.4,58.0,7119,7.02,7.09,4.4
1132,0.4,Ideal,I,VS1,61.5,59.0,736,4.72,4.75,2.91
1133,0.71,Very Good,F,SI2,63.4,57.0,2266,5.7,5.63,3.59
1134,0.3,Premium,F,SI2,62.2,58.0,506,4.33,4.22,2.66
1135,0.91,Premium,I,VS2,62.7,58.0,3579,6.14,6.18,3.86
1136,1.03,Ideal,J,SI1,62.3,56.0,3893,6.51,6.45,4.04
1137,0.6,Very Good,G,VVS1,60.0,58.0,2485,5.53,5.43,3.29
1138,0.35,Ideal,E,VS2,62.0,57.0,984,4.55,4.51,2.81
1139,0.35,Premium,G,SI1,60.3,60.0,669,4.59,4.57,2.76
1140,0.5,Premium,D,SI1,62.4,60.0,1436,5.07,5.09,3.17
1141,1.22,Premium,H,VS2,61.4,62.0,5944,6.92,6.76,4.22
1142,0.7,Ideal,I,VS1,63.0,54.0,2142,5.63,5.7,3.57
1143,0.77,Premium,F,VS2,61.8,56.0,2889,5.94,5.9,3.66
1144,0.35,Premium,E,VS2,60.4,60.0,767,4.52,4.55,2.74
1145,1.2,Good,I,SI1,63.1,58.0,4752,6.66,6.72,4.22
1146,0.7,Ideal,I,VS1,62.7,57.0,2163,5.63,5.67,3.54
1147,0.32,Ideal,G,IF,61.4,55.0,918,4.42,4.44,2.72
1148,1.71,Ideal,J,VS1,62.4,56.0,10309,7.59,7.63,4.75
1149,1.02,Premium,D,SI1,60.6,59.0,5998,6.53,6.47,3.94
1150,0.3,Very Good,G,VVS2,59.7,63.0,819,4.37,4.34,2.6
1151,0.32,Ideal,G,VVS2,61.7,57.0,730,4.41,4.44,2.73
1152,0.9,Good,F,SI2,63.1,56.0,3519,6.12,6.18,3.88
1153,0.33,Ideal,H,VS1,62.2,53.3,592,4.45,4.48,2.77
1154,0.54,Premium,E,SI1,59.5,61.0,1356,5.31,5.28,3.15
1155,0.33,Premium,G,VS1,62.3,58.0,666,4.41,4.45,2.76
1156,0.51,Ideal,E,VS2,61.9,55.0,1675,5.1,5.14,3.17
1157,0.7,Very Good,G,VVS2,60.0,60.0,3235,5.78,5.85,3.49
1158,0.9,Ideal,G,SI2,61.5,57.0,4032,6.19,6.23,3.82
1159,0.51,Premium,F,VVS1,62.6,57.0,2341,5.1,5.06,3.18
1160,0.32,Premium,E,SI1,62.3,58.0,720,4.4,4.37,2.73
1161,0.45,Fair,E,VS2,65.8,58.0,951,4.81,4.74,3.14
1162,1.98,Ideal,I,SI1,61.5,55.0,14581,8.04,8.13,4.97
1163,1.64,Ideal,G,VVS2,61.8,56.0,17604,7.59,7.6,4.69
1164,1.2,Very Good,F,VS1,58.7,59.0,9574,6.89,7.07,4.1
1165,0.3,Ideal,F,VS1,61.8,55.0,612,4.31,4.33,2.67
1166,0.9,Good,D,VS2,57.9,62.0,3604,6.33,6.24,3.64
1167,1.03,Premium,F,SI2,62.4,59.0,4586,6.45,6.38,4.0
1168,0.85,Premium,G,VS2,61.0,58.0,3237,6.11,6.08,3.72
1169,1.0,Premium,H,I1,60.4,61.0,1932,6.39,6.32,3.84
1170,1.07,Ideal,H,VS1,61.0,57.0,7440,6.59,6.63,4.03
1171,0.87,Very Good,G,SI2,59.9,58.0,2802,6.19,6.23,3.72
1172,1.27,Ideal,J,SI2,62.6,57.0,4693,6.85,6.88,4.3
1173,0.59,Very Good,H,SI2,61.2,60.0,1254,5.38,5.43,3.31
1174,0.76,Ideal,G,SI2,62.7,56.0,2466,5.81,5.86,3.66
1175,1.06,Ideal,G,VS1,62.3,55.0,8451,6.5,6.53,4.06
1176,0.53,Ideal,H,IF,62.0,54.0,1949,5.22,5.27,3.25
1177,0.87,Very Good,H,SI2,61.0,56.0,2993,6.15,6.19,3.77
1178,1.54,Fair,I,SI2,64.6,56.0,7727,7.3,7.26,4.7
1179,0.31,Premium,G,VS1,62.1,58.0,625,4.31,4.35,2.69
1180,1.5,Very Good,F,SI2,63.1,63.0,8702,7.27,7.21,4.57
1181,2.08,Ideal,H,SI1,61.7,58.0,17469,8.13,8.21,5.04
1182,0.9,Very Good,I,VS2,63.4,56.0,3489,6.09,6.12,3.87
1183,0.3,Ideal,D,VS1,60.7,56.0,885,4.38,4.41,2.67
1184,0.4,Ideal,F,VVS1,61.9,55.0,1168,4.75,4.78,2.95
1185,0.37,Ideal,E,VS2,62.5,56.0,1041,4.61,4.58,2.87
1186,0.73,Ideal,G,VVS2,61.3,57.0,2869,5.84,5.81,3.57
1187,0.36,Ideal,D,VS2,61.7,55.0,852,4.58,4.6,2.83
1188,1.01,Premium,G,VVS2,58.5,59.0,6670,6.66,6.6,3.88
1189,1.51,Good,D,SI1,64.1,62.0,9674,7.21,7.15,4.6
1190,1.02,Premium,H,SI2,62.5,54.0,4284,6.44,6.4,4.01
1191,1.79,Premium,J,VS2,62.5,60.0,10581,7.76,7.69,4.83
1192,1.01,Ideal,G,VS2,61.9,56.0,7179,6.4,6.44,3.97
1193,0.3,Ideal,E,VVS2,62.0,56.0,742,4.3,4.34,2.68
1194,1.01,Very Good,G,SI1,60.6,57.0,4916,6.49,6.52,3.94
1195,1.5,Premium,E,VS2,61.8,59.0,14925,7.38,7.31,4.54
1196,0.71,Very Good,G,VS1,63.5,56.0,2368,5.67,5.63,3.59
1197,1.0,Fair,H,SI2,65.2,54.0,2912,6.3,6.22,4.08
1198,0.5,Premium,E,VS2,61.5,56.0,1746,5.11,5.07,3.13
1199,0.38,Very Good,H,SI2,63.4,57.0,702,4.63,4.58,2.92
1200,0.9,Very Good,F,SI1,63.1,56.0,4103,6.17,6.12,3.88
1201,1.51,Very Good,E,SI2,63.4,59.0,9513,7.26,7.19,4.58
1202,2.0,Very Good,I,SI2,63.7,61.0,12221,7.85,7.97,5.04
1203,0.4,Ideal,J,VVS2,61.8,55.0,662,4.76,4.79,2.95
1204,0.51,Very Good,E,SI1,62.2,55.0,1318,5.09,5.11,3.17
1205,1.51,Ideal,J,VS1,61.9,58.0,8170,7.28,7.33,4.52
1206,1.01,Premium,G,VVS2,61.2,58.0,8163,6.49,6.45,3.96
1207,0.3,Ideal,G,SI1,62.3,57.0,477,4.29,4.31,2.68
1208,0.51,Very Good,E,VS2,63.3,57.0,1662,5.12,5.05,3.22
1209,0.91,Very Good,H,VS2,59.9,62.0,4201,6.26,6.33,3.77
1210,1.38,Premium,J,VS2,60.2,59.0,6175,7.29,7.19,4.36
1211,0.35,Ideal,D,SI1,61.6,55.0,827,4.56,4.53,2.8
1212,0.41,Premium,F,VS2,61.6,59.0,863,4.74,4.77,2.93
1213,1.09,Very Good,F,IF,61.4,56.0,11631,6.62,6.68,4.08
1214,1.2,Good,E,VS2,63.7,57.0,5914,6.71,6.64,4.25
1215,0.6,Ideal,G,VS1,61.1,57.0,2147,5.41,5.45,3.32
1216,1.11,Ideal,G,SI2,60.5,56.0,4755,6.71,6.67,4.05
1217,0.54,Ideal,F,VS2,60.5,56.0,1680,5.27,5.29,3.2
1218,0.9,Premium,H,VVS2,60.3,61.0,4355,6.25,6.22,3.76
1219,0.4,Very Good,G,VVS2,62.5,60.0,982,4.65,4.7,2.92
1220,0.53,Premium,D,SI1,60.0,58.0,1753,5.29,5.24,3.16
1221,0.51,Ideal,D,VS2,62.3,55.0,1787,5.12,5.19,3.21
1222,1.1,Ideal,F,VS1,61.7,57.0,8279,6.67,6.65,4.11
1223,1.01,Premium,G,VS1,60.7,58.0,7059,6.52,6.49,3.95
1224,1.2,Ideal,D,SI1,62.7,55.0,7761,6.71,6.79,4.23
1225,0.3,Ideal,D,VS2,62.4,55.0,790,4.32,4.3,2.69
1226,0.4,Fair,H,VS2,65.1,59.0,704,4.58,4.63,3.0
1227,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5
1228,0.33,Premium,G,VS2,60.0,58.0,743,4.49,4.47,2.69
1229,0.9,Very Good,H,SI2,59.2,61.0,3160,6.23,6.27,3.7
1230,1.03,Ideal,D,SI2,61.2,57.0,4764,6.59,6.51,4.01
1231,0.47,Premium,G,SI1,58.5,60.0,1055,5.09,5.06,2.97
1232,1.16,Very Good,E,VS2,62.1,58.0,8520,6.63,6.7,4.14
1233,1.0,Fair,F,VS2,66.7,57.0,4732,6.11,6.04,4.05
1234,1.07,Ideal,H,SI1,60.9,57.0,5031,6.61,6.68,4.05
1235,0.41,Ideal,E,VVS1,60.7,57.0,1367,4.8,4.85,2.93
1236,0.59,Ideal,E,SI2,62.2,55.0,1286,5.38,5.4,3.35
1237,0.31,Ideal,F,VS1,61.6,56.0,695,4.33,4.36,2.68
1238,0.56,Very Good,E,VS2,62.1,57.0,1819,5.27,5.3,3.28
1239,1.01,Very Good,E,SI2,61.8,56.0,4355,6.42,6.5,3.99
1240,0.3,Premium,D,SI1,61.6,58.0,709,4.32,4.29,2.65
1241,0.53,Very Good,G,SI1,61.6,57.0,1336,5.18,5.21,3.2
1242,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41
1243,0.39,Very Good,E,VS2,63.1,56.0,1065,4.69,4.63,2.94
1244,1.03,Premium,H,SI2,62.3,59.0,4153,6.46,6.42,4.01
1245,0.51,Premium,E,SI2,61.8,58.0,1265,5.11,5.08,3.15
1246,0.28,Premium,G,VVS2,60.2,60.0,646,4.26,4.24,2.56
1247,0.71,Ideal,D,VS2,62.5,55.0,3161,5.74,5.71,3.58
1248,1.01,Premium,G,SI2,60.6,59.0,3981,6.49,6.41,3.91
1249,0.71,Fair,D,SI2,64.6,60.0,2198,5.62,5.59,3.62
1250,0.31,Ideal,E,IF,61.5,56.0,1214,4.35,4.4,2.69
1251,0.42,Very Good,H,VS2,62.1,57.0,773,4.76,4.8,2.97
1252,0.5,Very Good,D,VS2,62.2,60.0,1378,5.15,5.05,3.17
1253,0.31,Ideal,F,VS2,61.6,56.0,749,4.39,4.35,2.69
1254,0.59,Ideal,D,SI1,61.0,57.0,1912,5.46,5.43,3.32
1255,0.41,Premium,D,VVS2,61.8,58.0,1356,4.79,4.75,2.95
1256,1.2,Ideal,I,VS2,63.2,59.0,5699,6.73,6.68,4.24
1257,0.71,Very Good,I,VS1,61.1,57.0,2332,5.75,5.8,3.53
1258,0.42,Ideal,H,VVS2,61.9,55.0,1102,4.83,4.86,3.0
1259,1.01,Ideal,D,SI2,61.6,57.0,5006,6.46,6.42,3.97
1260,1.31,Ideal,G,VVS2,60.3,56.0,13168,7.09,7.15,4.29
1261,0.26,Very Good,D,VS1,63.3,57.0,420,4.03,4.06,2.56
1262,1.23,Ideal,D,VVS2,62.0,55.0,12848,6.85,6.92,4.27
1263,1.05,Ideal,G,VS2,60.8,57.0,6604,6.65,6.58,4.02
1264,0.54,Ideal,F,VVS1,61.6,55.0,2977,5.28,5.27,3.25
1265,1.01,Good,G,VS2,63.6,60.0,5701,6.35,6.3,4.02
1266,1.23,Ideal,H,SI1,62.3,57.0,6046,6.89,6.85,4.28
1267,0.51,Good,J,VS2,63.1,56.0,984,5.1,5.13,3.23
1268,0.3,Ideal,E,VS2,61.5,55.0,658,4.28,4.31,2.64
1269,0.32,Very Good,H,SI1,61.9,58.0,449,4.34,4.38,2.7
1270,0.71,Ideal,G,VS1,61.4,56.0,2756,5.76,5.73,3.53
1271,0.42,Premium,G,VS2,62.0,58.0,847,4.77,4.81,2.97
1272,0.35,Very Good,H,VVS1,62.6,57.0,798,4.45,4.47,2.79
